date,Name,Reference,isPartial
2018-07-17,93,78,False
2018-07-18,85,77,False
2018-07-19,87,74,False
date,Henrique,bonsai,isPartial
2018-06-21,79,81,False
2018-06-22,71,79,False
2018-06-23,85,89,False
2018-06-24,76,93,False
2018-06-25,78,83,False
2018-06-26,75,82,False
2018-06-27,70,75,False
2018-06-28,71,74,False
2018-06-29,82,84,False
2018-06-30,79,92,False
2018-07-01,76,90,False
2018-07-02,69,73,False
2018-07-03,80,79,False
2018-07-04,93,78,False
2018-07-05,77,74,False
2018-07-06,65,76,False
2018-07-07,65,87,False
2018-07-08,77,89,False
2018-07-09,80,80,False
2018-07-10,85,80,False
2018-07-11,79,72,False
2018-07-12,79,81,False
2018-07-13,88,88,False
2018-07-14,81,90,False
2018-07-15,75,100,False
2018-07-16,94,85,False
2018-07-17,84,78,False
2018-07-18,85,83,False
2018-07-19,84,74,False
date,Ramires,bonsai,isPartial
2018-06-21,5,81,False
2018-06-22,10,79,False
2018-06-23,6,89,False
2018-06-24,6,93,False
2018-06-25,7,83,False
2018-06-26,4,82,False
2018-06-27,8,75,False
2018-06-28,5,74,False
2018-06-29,4,84,False
2018-06-30,3,92,False
2018-07-01,9,90,False
2018-07-02,6,73,False
2018-07-03,6,79,False
2018-07-04,7,78,False
2018-07-05,8,74,False
2018-07-06,6,76,False
2018-07-07,4,87,False
2018-07-08,5,89,False
2018-07-09,6,80,False
2018-07-10,7,80,False
2018-07-11,6,72,False
2018-07-12,8,81,False
2018-07-13,8,88,False
2018-07-14,16,90,False
2018-07-15,26,100,False
2018-07-16,16,85,False
2018-07-17,16,78,False
2018-07-18,11,83,False
2018-07-19,7,74,False
date,Luiz Gustavo,bonsai,isPartial
2018-06-21,2,81,False
2018-06-22,2,79,False
2018-06-23,1,89,False
2018-06-24,2,93,False
2018-06-25,2,83,False
2018-06-26,2,82,False
2018-06-27,4,75,False
2018-06-28,3,74,False
2018-06-29,2,84,False
2018-06-30,2,92,False
2018-07-01,3,90,False
2018-07-02,1,73,False
2018-07-03,2,79,False
2018-07-04,3,78,False
2018-07-05,2,74,False
2018-07-06,5,76,False
2018-07-07,3,87,False
2018-07-08,3,89,False
2018-07-09,3,80,False
2018-07-10,2,80,False
2018-07-11,1,72,False
2018-07-12,2,81,False
2018-07-13,2,88,False
2018-07-14,2,90,False
2018-07-15,1,100,False
2018-07-16,1,85,False
2018-07-17,3,78,False
2018-07-18,3,83,False
2018-07-19,2,74,False
date,Hernanes,bonsai,isPartial
2018-06-21,1,81,False
2018-06-22,1,79,False
2018-06-23,2,89,False
2018-06-24,1,93,False
2018-06-25,1,83,False
2018-06-26,1,82,False
2018-06-27,2,75,False
2018-06-28,2,74,False
2018-06-29,2,84,False
2018-06-30,1,92,False
2018-07-01,1,90,False
2018-07-02,3,73,False
2018-07-03,2,79,False
2018-07-04,1,78,False
2018-07-05,1,74,False
2018-07-06,41,76,False
2018-07-07,19,87,False
2018-07-08,11,89,False
