date,Name,Reference,isPartial
2018-07-07,0,16,False
date,Benoît Assou-Ekotto,Cameroon football,isPartial
2018-06-09,0,71,False
2018-06-10,0,10,False
2018-06-11,0,42,False
2018-06-12,0,56,False
2018-06-13,0,32,False
2018-06-14,0,34,False
2018-06-15,0,55,False
2018-06-16,0,50,False
2018-06-17,0,49,False
2018-06-18,8,17,False
2018-06-19,0,100,False
2018-06-20,0,78,False
2018-06-21,0,43,False
2018-06-22,0,62,False
2018-06-23,0,80,False
2018-06-24,0,59,False
2018-06-25,0,50,False
2018-06-26,0,51,False
2018-06-27,0,51,False
2018-06-28,0,86,False
2018-06-29,0,46,False
2018-06-30,0,70,False
2018-07-01,0,88,False
2018-07-02,0,9,False
2018-07-03,0,43,False
2018-07-04,0,35,False
2018-07-05,0,26,False
2018-07-06,9,17,False
2018-07-07,0,10,False
date,Nicolas Nkoulou,Cameroon football,isPartial
2018-06-09,0,71,False
2018-06-10,0,10,False
2018-06-11,0,42,False
2018-06-12,0,56,False
2018-06-13,0,32,False
2018-06-14,0,34,False
2018-06-15,0,55,False
2018-06-16,0,50,False
2018-06-17,0,49,False
2018-06-18,0,17,False
2018-06-19,0,100,False
2018-06-20,0,78,False
2018-06-21,0,43,False
2018-06-22,9,62,False
2018-06-23,0,80,False
2018-06-24,0,59,False
2018-06-25,0,50,False
2018-06-26,0,51,False
2018-06-27,0,51,False
2018-06-28,9,86,False
2018-06-29,0,46,False
2018-06-30,0,70,False
2018-07-01,10,88,False
2018-07-02,0,9,False
2018-07-03,0,43,False
2018-07-04,18,35,False
2018-07-05,18,26,False
2018-07-06,0,17,False
2018-07-07,0,10,False
date,Cédric Djeugoué,Cameroon football,isPartial
2018-06-09,0,71,False
2018-06-10,0,10,False
2018-06-11,0,42,False
2018-06-12,0,56,False
2018-06-13,0,32,False
2018-06-14,0,34,False
2018-06-15,0,55,False
2018-06-16,0,50,False
2018-06-17,0,49,False
2018-06-18,0,17,False
2018-06-19,0,100,False
2018-06-20,0,78,False
2018-06-21,0,43,False
2018-06-22,0,62,False
2018-06-23,0,80,False
2018-06-24,0,59,False
2018-06-25,0,50,False
2018-06-26,0,51,False
2018-06-27,0,51,False
2018-06-28,0,86,False
2018-06-29,0,46,False
2018-06-30,0,70,False
2018-07-01,0,88,False
2018-07-02,0,9,False
2018-07-03,0,43,False
2018-07-04,0,35,False
2018-07-05,0,26,False
2018-07-06,0,17,False
2018-07-07,0,10,False
date,Dany Nounkeu,Cameroon football,isPartial
2018-06-09,0,71,False
2018-06-10,0,10,False
2018-06-11,0,42,False
2018-06-12,0,56,False
2018-06-13,0,32,False
2018-06-14,0,34,False
2018-06-15,0,55,False
2018-06-16,0,50,False
2018-06-17,10,49,False
2018-06-18,0,17,False
2018-06-19,0,100,False
2018-06-20,0,78,False
2018-06-21,0,43,False
2018-06-22,0,62,False
2018-06-23,0,80,False
2018-06-24,0,59,False
2018-06-25,0,50,False
2018-06-26,0,51,False
2018-06-27,0,51,False
2018-06-28,0,86,False
2018-06-29,0,46,False
2018-06-30,0,70,False
2018-07-01,0,88,False
2018-07-02,0,9,False
2018-07-03,0,43,False
2018-07-04,9,35,False
2018-07-05,0,26,False
2018-07-06,0,17,False
2018-07-07,0,10,False
date,Alex Song,Cameroon football,isPartial
2018-06-09,70,21,False
2018-06-10,52,3,False
2018-06-11,58,13,False
2018-06-12,43,17,False
2018-06-13,53,10,False
2018-06-14,72,10,False
2018-06-15,36,16,False
2018-06-16,39,15,False
2018-06-17,62,15,False
2018-06-18,33,5,False
2018-06-19,38,30,False
2018-06-20,39,23,False
2018-06-21,41,13,False
2018-06-22,38,19,False
2018-06-23,48,24,False
2018-06-24,30,18,False
2018-06-25,30,15,False
2018-06-26,31,15,False
2018-06-27,41,15,False
2018-06-28,36,26,False
2018-06-29,22,14,False
2018-06-30,48,21,False
2018-07-01,100,26,False
2018-07-02,47,3,False
2018-07-03,67,13,False
2018-07-04,29,11,False
2018-07-05,43,8,False
2018-07-06,45,5,False
2018-07-07,41,3,False
date,Landry N'Guémo,Cameroon football,isPartial
2018-06-09,0,71,False
2018-06-10,0,10,False
2018-06-11,0,42,False
2018-06-12,0,56,False
2018-06-13,0,32,False
2018-06-14,0,34,False
2018-06-15,0,55,False
2018-06-16,0,50,False
2018-06-17,0,49,False
2018-06-18,0,17,False
2018-06-19,0,100,False
2018-06-20,0,78,False
2018-06-21,0,43,False
2018-06-22,0,62,False
2018-06-23,0,80,False
2018-06-24,0,59,False
2018-06-25,0,50,False
2018-06-26,0,51,False
2018-06-27,0,51,False
2018-06-28,0,86,False
2018-06-29,0,46,False
2018-06-30,0,70,False
2018-07-01,0,88,False
2018-07-02,0,9,False
2018-07-03,0,43,False
2018-07-04,0,35,False
2018-07-05,0,26,False
2018-07-06,0,17,False
2018-07-07,0,10,False
date,Benjamin Moukandjo,Cameroon football,isPartial
2018-06-09,0,48,False
2018-06-10,0,32,False
2018-06-11,0,35,False
2018-06-12,0,59,False
2018-06-13,8,38,False
2018-06-14,0,40,False
2018-06-15,0,58,False
2018-06-16,0,80,False
2018-06-17,0,52,False
2018-06-18,0,40,False
2018-06-19,0,93,False
2018-06-20,0,86,False
2018-06-21,0,59,False
2018-06-22,0,61,False
2018-06-23,0,63,False
2018-06-24,0,99,False
2018-06-25,0,36,False
2018-06-26,0,62,False
2018-06-27,0,45,False
2018-06-28,0,100,False
2018-06-29,10,39,False
2018-06-30,0,58,False
2018-07-01,10,62,False
2018-07-02,0,23,False
2018-07-03,0,54,False
2018-07-04,0,33,False
2018-07-05,0,28,False
2018-07-06,9,37,False
2018-07-07,0,16,False
date,Samuel Eto'o,Cameroon football,isPartial
2018-06-09,33,47,False
2018-06-10,27,7,False
2018-06-11,22,28,False
2018-06-12,100,37,False
2018-06-13,16,21,False
2018-06-14,56,23,False
2018-06-15,24,36,False
2018-06-16,33,33,False
2018-06-17,19,33,False
2018-06-18,17,11,False
2018-06-19,44,66,False
2018-06-20,17,51,False
2018-06-21,23,28,False
2018-06-22,18,41,False
2018-06-23,40,53,False
2018-06-24,19,39,False
2018-06-25,17,33,False
2018-06-26,39,34,False
2018-06-27,17,34,False
2018-06-28,34,57,False
2018-06-29,12,30,False
2018-06-30,20,46,False
2018-07-01,32,58,False
2018-07-02,17,6,False
2018-07-03,22,28,False
2018-07-04,18,23,False
2018-07-05,17,18,False
2018-07-06,17,12,False
2018-07-07,13,6,False
date,Vincent Aboubakar,Cameroon football,isPartial
2018-06-09,7,50,False
2018-06-10,7,7,False
2018-06-11,23,29,False
2018-06-12,28,39,False
2018-06-13,11,22,False
2018-06-14,12,24,False
2018-06-15,0,38,False
2018-06-16,14,35,False
2018-06-17,7,35,False
2018-06-18,6,12,False
2018-06-19,12,70,False
2018-06-20,12,55,False
2018-06-21,12,30,False
2018-06-22,19,44,False
2018-06-23,14,56,False
2018-06-24,41,41,False
2018-06-25,100,35,False
2018-06-26,47,36,False
2018-06-27,30,36,False
2018-06-28,12,60,False
2018-06-29,13,32,False
2018-06-30,0,49,False
2018-07-01,7,62,False
2018-07-02,18,6,False
2018-07-03,6,30,False
2018-07-04,0,25,False
2018-07-05,19,19,False
2018-07-06,0,12,False
2018-07-07,7,7,False
date,Jean Makoun,Cameroon football,isPartial
2018-06-09,0,71,False
2018-06-10,0,10,False
2018-06-11,0,42,False
2018-06-12,8,56,False
2018-06-13,8,32,False
2018-06-14,0,34,False
2018-06-15,9,55,False
2018-06-16,0,50,False
2018-06-17,0,49,False
2018-06-18,8,17,False
2018-06-19,8,100,False
2018-06-20,0,78,False
2018-06-21,0,43,False
2018-06-22,0,62,False
2018-06-23,0,80,False
2018-06-24,0,59,False
2018-06-25,0,50,False
2018-06-26,0,51,False
2018-06-27,0,51,False
2018-06-28,0,86,False
2018-06-29,0,46,False
2018-06-30,10,70,False
2018-07-01,0,88,False
2018-07-02,0,9,False
2018-07-03,8,43,False
2018-07-04,0,35,False
2018-07-05,9,26,False
2018-07-06,0,17,False
2018-07-07,0,10,False
date,Henri Bedimo,Cameroon football,isPartial
2018-06-09,0,71,False
2018-06-10,0,10,False
2018-06-11,0,42,False
2018-06-12,0,56,False
2018-06-13,0,32,False
2018-06-14,0,34,False
2018-06-15,0,55,False
2018-06-16,0,50,False
2018-06-17,0,49,False
2018-06-18,0,17,False
2018-06-19,0,100,False
2018-06-20,0,78,False
2018-06-21,0,43,False
2018-06-22,0,62,False
2018-06-23,0,80,False
2018-06-24,0,59,False
2018-06-25,0,50,False
2018-06-26,8,51,False
2018-06-27,0,51,False
2018-06-28,0,86,False
2018-06-29,0,46,False
2018-06-30,0,70,False
2018-07-01,0,88,False
2018-07-02,0,9,False
2018-07-03,17,43,False
2018-07-04,0,35,False
2018-07-05,9,26,False
2018-07-06,0,17,False
2018-07-07,0,10,False
date,Eric Maxim Choupo-Moting,Cameroon football,isPartial
2018-06-09,10,71,False
